,GeoID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
0,Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Afghanistan,3.2030000000000003,0.35,0.517,0.361,0.0,0.158,0.025
2,Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Albania,4.718999999999999,0.9470000000000001,0.848,0.8740000000000001,0.38299999999999995,0.17800000000000002,0.027000000000000003
4,Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,United Arab Emirates,6.825,1.5030000000000001,1.31,0.825,0.598,0.262,0.182
6,Argentina,6.086,1.092,1.432,0.8809999999999999,0.47100000000000003,0.066,0.05
7,Australia,7.228,1.3719999999999999,1.548,1.036,0.557,0.332,0.29
8,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226
9,Azerbaijan,5.207999999999999,1.043,1.147,0.769,0.35100000000000003,0.035,0.182
10,Burundi,3.775,0.046,0.447,0.38,0.22,0.17600000000000002,0.18
11,Belgium,6.922999999999999,1.3559999999999999,1.504,0.986,0.473,0.16,0.21
12,Benin,4.883,0.39299999999999996,0.43700000000000006,0.397,0.349,0.175,0.08199999999999999
13,Burkina Faso,4.587,0.331,1.056,0.38,0.255,0.177,0.113
14,Bangladesh,4.456,0.562,0.9279999999999999,0.723,0.527,0.166,0.14300000000000002
15,Bulgaria,5.011,1.092,1.5130000000000001,0.815,0.311,0.081,0.004
16,Bahrain,6.199,1.3619999999999999,1.368,0.871,0.536,0.255,0.11
17,Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
19,Belarus,5.3229999999999995,1.067,1.465,0.789,0.235,0.094,0.142
20,Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Bolivia,5.779,0.7759999999999999,1.209,0.706,0.511,0.13699999999999998,0.064
23,Brazil / Acre,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Brazil / Alagoas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Brazil / Amazonas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Brazil / Amapa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Brazil / Bahia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Brazil / Ceara,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Brazil / Distrito Federal,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Brazil / Espirito Santo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Brazil / Goias,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Brazil / Maranhao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Brazil / Minas Gerais,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Brazil / Mato Grosso do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Brazil / Mato Grosso,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Brazil / Para,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Brazil / Paraiba,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Brazil / Pernambuco,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Brazil / Piaui,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Brazil / Parana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Brazil / Rio de Janeiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Brazil / Rio Grande do Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Brazil / Rondonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Brazil / Roraima,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Brazil / Rio Grande do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brazil / Santa Catarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Brazil / Sergipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Brazil / Sao Paulo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Brazil / Tocantins,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086
51,Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Bhutan,5.082,0.813,1.321,0.604,0.457,0.37,0.16699999999999998
54,Botswana,3.488,1.041,1.145,0.5379999999999999,0.455,0.025,0.1
55,Central African Republic,3.083,0.026000000000000002,0.0,0.105,0.225,0.235,0.035
56,Canada,7.278,1.365,1.505,1.0390000000000001,0.584,0.285,0.308
57,Switzerland,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997
58,Chile,6.444,1.159,1.369,0.92,0.35700000000000004,0.187,0.055999999999999994
