CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
Aruba,,2020-11-16,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-17,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-18,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-19,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-20,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-21,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-22,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-23,1,0,2,4,0,0,0,1,2,2,1,2
Aruba,,2020-11-24,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-11-25,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-11-26,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-11-27,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-11-28,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-11-29,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-11-30,1,0,1,3,0,0,0,1,2,2,1,2
Aruba,,2020-12-01,,,,,,,,,,,,
Aruba,,2020-12-02,,,,,,,,,,,,
Aruba,,2020-12-03,,,,,,,,,,,,
Aruba,,2020-12-04,,,,,,,,,,,,
Aruba,,2020-12-05,,,,,,,,,,,,
Aruba,,2020-12-06,,,,,,,,,,,,
Aruba,,2020-12-07,,,,,,,,,,,,
Afghanistan,,2020-11-16,0,0,0,0,0,0,0,1,1,3,,3
Afghanistan,,2020-11-17,0,0,0,0,0,0,0,1,1,3,,3
Afghanistan,,2020-11-18,0,0,0,0,0,0,0,1,1,3,,3
Afghanistan,,2020-11-19,0,0,0,0,0,0,0,1,1,3,,3
Afghanistan,,2020-11-20,0,0,0,0,0,0,0,1,1,3,,3
Afghanistan,,2020-11-21,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-22,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-23,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-24,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-25,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-26,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-27,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-28,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-29,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-11-30,0,0,0,0,0,0,0,1,1,3,1,3
Afghanistan,,2020-12-01,,,,,,,,,,,,
Afghanistan,,2020-12-02,,,,,,,,,,,,
Afghanistan,,2020-12-03,,,,,,,,,,,,
Afghanistan,,2020-12-04,,,,,,,,,,,,
Afghanistan,,2020-12-05,,,,,,,,,,,,
Afghanistan,,2020-12-06,,,,,,,,,,,,
Afghanistan,,2020-12-07,,,,,,,,,,,,
Angola,,2020-11-16,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-17,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-18,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-19,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-20,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-21,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-22,2,2,1,2,1,1,2,4,1,3,0,3
Angola,,2020-11-23,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-24,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-25,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-26,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-27,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-28,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-29,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-11-30,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-12-01,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-12-02,2,2,1,2,1,1,1,4,1,3,0,3
Angola,,2020-12-03,,,,,,,,,,,,
Angola,,2020-12-04,,,,,,,,,,,,
Angola,,2020-12-05,,,,,,,,,,,,
Angola,,2020-12-06,,,,,,,,,,,,
Angola,,2020-12-07,,,,,,,,,,,,
Albania,,2020-11-16,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-17,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-18,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-19,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-20,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-21,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-22,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-23,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-24,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-25,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-26,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-27,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-28,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-29,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-11-30,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-12-01,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-12-02,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-12-03,1,2,2,4,0,2,2,1,2,2,2,4
Albania,,2020-12-04,,,,,,,,,,,,
Albania,,2020-12-05,,,,,,,,,,,,
Albania,,2020-12-06,,,,,,,,,,,,
Albania,,2020-12-07,,,,,,,,,,,,
Andorra,,2020-11-16,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-17,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-18,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-19,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-20,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-21,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-22,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-23,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-24,2,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-25,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-26,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-27,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-28,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-29,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-11-30,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-01,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-02,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-03,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-04,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-05,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-06,1,2,2,4,1,1,0,2,2,3,2,3
Andorra,,2020-12-07,1,2,2,4,1,1,0,2,2,3,2,3
United Arab Emirates,,2020-11-16,1,0,2,4,0,0,1,2,2,3,2,4
United Arab Emirates,,2020-11-17,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-18,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-19,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-20,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-21,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-22,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-23,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-24,1,0,2,4,0,,1,2,2,3,2,4
United Arab Emirates,,2020-11-25,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-11-26,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-11-27,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-11-28,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-11-29,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-11-30,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-01,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-02,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-03,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-04,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-05,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-06,1,1,2,4,0,0,1,2,2,3,2,3
United Arab Emirates,,2020-12-07,1,1,2,4,0,0,1,2,2,3,2,3
Argentina,,2020-11-16,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-17,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-18,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-19,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-20,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-21,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-22,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-23,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-24,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-25,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-26,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-27,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-28,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-29,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-11-30,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-01,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-02,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-03,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-04,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-05,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-06,3,2,2,4,2,2,2,3,2,2,2,3
Argentina,,2020-12-07,3,2,2,4,2,2,2,3,2,2,2,3
Australia,,2020-11-16,1,1,1,4,1,1,2,3,2,2,2,4
Australia,,2020-11-17,1,1,1,4,1,1,2,3,2,2,2,4
Australia,,2020-11-18,1,1,1,4,1,1,2,3,2,2,2,4
Australia,,2020-11-19,1,1,1,4,1,1,2,3,2,2,2,4
Australia,,2020-11-20,1,1,1,4,1,1,2,3,2,2,2,4
Australia,,2020-11-21,1,1,1,4,1,1,2,3,2,2,2,4
Australia,,2020-11-22,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-23,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-24,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-25,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-26,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-27,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-28,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-29,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-11-30,0,1,1,3,1,1,2,3,2,2,2,2
Australia,,2020-12-01,,,,,,,,,,,,
Australia,,2020-12-02,,,,,,,,,,,,
Australia,,2020-12-03,,,,,,,,,,,,
Australia,,2020-12-04,,,,,,,,,,,,
Australia,,2020-12-05,,,,,,,,,,,,
Australia,,2020-12-06,,,,,,,,,,,,
Australia,,2020-12-07,,,,,,,,,,,,
Austria,,2020-11-16,2,2,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-17,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-18,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-19,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-20,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-21,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-22,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-23,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-24,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-25,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-26,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-27,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-28,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-29,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-11-30,3,3,2,4,1,2,1,3,2,3,2,3
Austria,,2020-12-01,,,,,,,,,,,,
Austria,,2020-12-02,,,,,,,,,,,,
Austria,,2020-12-03,,,,,,,,,,,,
Austria,,2020-12-04,,,,,,,,,,,,
Austria,,2020-12-05,,,,,,,,,,,,
Austria,,2020-12-06,,,,,,,,,,,,
Austria,,2020-12-07,,,,,,,,,,,,
Azerbaijan,,2020-11-16,3,2,2,4,1,1,1,4,2,2,2,3
Azerbaijan,,2020-11-17,3,2,2,4,1,1,1,4,2,2,2,3
Azerbaijan,,2020-11-18,3,2,2,4,1,1,1,4,2,2,2,3
Azerbaijan,,2020-11-19,3,2,2,4,1,1,1,4,2,2,2,3
Azerbaijan,,2020-11-20,3,2,2,4,1,1,1,4,2,2,2,3
Azerbaijan,,2020-11-21,3,2,2,4,1,1,1,4,2,2,2,3
Azerbaijan,,2020-11-22,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-23,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-24,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-25,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-26,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-27,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-28,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-29,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-11-30,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-12-01,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-12-02,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-12-03,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-12-04,3,2,2,4,2,1,1,4,2,3,2,3
Azerbaijan,,2020-12-05,,,,,,,,,,,,
Azerbaijan,,2020-12-06,,,,,,,,,,,,
Azerbaijan,,2020-12-07,,,,,,,,,,,,
Burundi,,2020-11-16,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-17,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-18,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-19,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-20,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-21,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-22,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-23,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-24,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-25,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-26,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-27,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-28,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-29,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-11-30,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-01,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-02,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-03,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-04,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-05,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-06,1,0,0,0,0,0,0,2,1,1,1,1
Burundi,,2020-12-07,1,0,0,0,0,0,0,2,1,1,1,1
Belgium,,2020-11-16,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-17,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-18,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-19,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-20,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-21,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-22,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-23,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-24,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-25,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-26,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-27,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-28,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-29,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-11-30,1,3,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-01,,2,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-02,,2,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-03,,2,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-04,,2,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-05,,2,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-06,,2,2,4,0,2,0,3,2,2,2,3
Belgium,,2020-12-07,,,,,,,,,,,,
Benin,,2020-11-16,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-17,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-18,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-19,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-20,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-21,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-22,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-23,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-24,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-25,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-26,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-27,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-28,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-29,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-11-30,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-12-01,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-12-02,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-12-03,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-12-04,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-12-05,1,1,2,3,0,0,0,1,2,2,2,4
Benin,,2020-12-06,1,1,2,3,0,0,0,1,,,2,
Benin,,2020-12-07,,,,,,,,,,,,
Burkina Faso,,2020-11-16,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-17,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-18,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-19,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-20,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-21,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-22,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-23,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-24,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-25,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-26,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-27,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-28,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-29,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-11-30,0,0,0,3,0,0,0,1,2,3,2,2
Burkina Faso,,2020-12-01,,,,,,,,,,,,
Burkina Faso,,2020-12-02,,,,,,,,,,,,
Burkina Faso,,2020-12-03,,,,,,,,,,,,
Burkina Faso,,2020-12-04,,,,,,,,,,,,
Burkina Faso,,2020-12-05,,,,,,,,,,,,
Burkina Faso,,2020-12-06,,,,,,,,,,,,
Burkina Faso,,2020-12-07,,,,,,,,,,,,
Bangladesh,,2020-11-16,3,3,2,4,2,2,2,3,2,2,1,4
Bangladesh,,2020-11-17,3,3,2,4,2,2,2,3,2,2,1,4
Bangladesh,,2020-11-18,3,3,2,4,2,2,2,3,2,2,1,4
Bangladesh,,2020-11-19,3,3,2,4,2,2,2,3,2,2,1,4
Bangladesh,,2020-11-20,3,3,2,4,2,2,2,3,2,2,1,4
Bangladesh,,2020-11-21,3,3,2,4,2,2,2,3,2,2,1,4
Bangladesh,,2020-11-22,3,3,2,4,2,2,2,3,2,2,1,4
