,CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,GeoID
320,Aruba,ABW,,,NAT_TOTAL,2020-11-16,1.0,1.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4668.0,44.0,37.04,37.04,39.29,39.29,41.67,41.67,38.46,38.46,62.5,62.5,Aruba
321,Aruba,ABW,,,NAT_TOTAL,2020-11-17,1.0,1.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4676.0,44.0,37.04,37.04,39.29,39.29,41.67,41.67,38.46,38.46,62.5,62.5,Aruba
322,Aruba,ABW,,,NAT_TOTAL,2020-11-18,1.0,1.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4685.0,45.0,37.04,37.04,39.29,39.29,41.67,41.67,38.46,38.46,62.5,62.5,Aruba
323,Aruba,ABW,,,NAT_TOTAL,2020-11-19,1.0,0.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4693.0,45.0,35.19,35.19,35.71,35.71,40.56,40.56,37.18,37.18,62.5,62.5,Aruba
324,Aruba,ABW,,,NAT_TOTAL,2020-11-20,1.0,0.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4698.0,45.0,35.19,35.19,35.71,35.71,40.56,40.56,37.18,37.18,62.5,62.5,Aruba
325,Aruba,ABW,,,NAT_TOTAL,2020-11-21,1.0,0.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4724.0,45.0,35.19,35.19,35.71,35.71,40.56,40.56,37.18,37.18,62.5,62.5,Aruba
326,Aruba,ABW,,,NAT_TOTAL,2020-11-22,1.0,0.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4731.0,45.0,35.19,35.19,35.71,35.71,40.56,40.56,37.18,37.18,62.5,62.5,Aruba
327,Aruba,ABW,,,NAT_TOTAL,2020-11-23,1.0,0.0,0.0,,2.0,0.0,4.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4737.0,45.0,35.19,35.19,35.71,35.71,40.56,40.56,37.18,37.18,62.5,62.5,Aruba
328,Aruba,ABW,,,NAT_TOTAL,2020-11-24,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4751.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
329,Aruba,ABW,,,NAT_TOTAL,2020-11-25,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4778.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
330,Aruba,ABW,,,NAT_TOTAL,2020-11-26,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4791.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
331,Aruba,ABW,,,NAT_TOTAL,2020-11-27,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4808.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
332,Aruba,ABW,,,NAT_TOTAL,2020-11-28,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4833.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
333,Aruba,ABW,,,NAT_TOTAL,2020-11-29,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4838.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
334,Aruba,ABW,,,NAT_TOTAL,2020-11-30,1.0,0.0,0.0,,1.0,0.0,3.0,1.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,,,4845.0,45.0,26.85,26.85,32.86,32.86,35.56,35.56,31.41,31.41,62.5,62.5,Aruba
335,Aruba,ABW,,,NAT_TOTAL,2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,4872.0,45.0,,,,,,,,,,,Aruba
